Sample,SEED_function,Rate,Position,Total No. of Reads,Total reads hit SEED database,,
T1B10(0-2cmbsf),General Stress Response and Stationary Phase Response,0.02%,Slope,1000000,117403,,
T1B10(0-2cmbsf),"Phages, Prophages, Transposable elements",0.46%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Carbohydrates,61.56%,Slope,1000000,117403,,
T1B10(0-2cmbsf),"Cofactors, Vitamins, Prosthetic Groups, Pigments",56.74%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Thiamin,1.20%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Nitrogen Metabolism,2.25%,Slope,1000000,117403,,
T1B10(0-2cmbsf),"Virulence, Disease and Defense",2.88%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Potassium metabolism,2.18%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Cell Wall and Capsule,12.20%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Phosphorus Metabolism,2.47%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Nucleosides and Nucleotides,9.11%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Transcriptional regulation,0.41%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Plastidial (cyanobacterial) electron transport system,0.01%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Motility and Chemotaxis,3.42%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Miscellaneous,13.28%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Arabinose Sensor and transport module,0.00%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Virulence,7.90%,Slope,1000000,117403,,
T1B10(0-2cmbsf),"Fatty Acids, Lipids, and Isoprenoids",17.13%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Dormancy and Sporulation,0.33%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Central metabolism,0.45%,Slope,1000000,117403,,
T1B10(0-2cmbsf),RNA Metabolism,15.17%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Predictions based on plant-prokaryote comparative analysis,1.82%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Respiration,9.88%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Nucleotide sugars,1.19%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Polyamines,0.00%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Regulation and Cell signaling,4.30%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Unclassified,19.61%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Amino Acids and Derivatives,53.55%,Slope,1000000,117403,,
T1B10(0-2cmbsf),DNA Metabolism,9.82%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Membrane Transport,5.43%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Plant cell walls and outer surfaces,0.13%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Photosynthesis,0.16%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Plant Glucosinolates,0.59%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Autotrophy,0.06%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Metabolism of Aromatic Compounds,4.32%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Sulfur Metabolism,4.79%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Mitochondrial electron transport system in plants,0.92%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Aceton metabolism,0.01%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Stress Response,8.81%,Slope,1000000,117403,,
T1B10(0-2cmbsf),"Phages, Prophages, Transposable elements, Plasmids",1.10%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Cell Division and Cell Cycle,2.73%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Metabolite damage and its repair or mitigation,9.07%,Slope,1000000,117403,,
T1B10(36-38cmbsf),Iron acquisition and metabolism,1.83%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Secondary Metabolism,1.25%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Protein Metabolism,24.65%,Slope,1000000,117770,,
T1B10(36-38cmbsf),General Stress Response and Stationary Phase Response,0.02%,Slope,1000000,117770,,
T1B10(36-38cmbsf),"Phages, Prophages, Transposable elements",0.43%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Carbohydrates,59.10%,Slope,1000000,117770,,
T1B10(36-38cmbsf),"Cofactors, Vitamins, Prosthetic Groups, Pigments",57.40%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Thiamin,1.02%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Nitrogen Metabolism,2.16%,Slope,1000000,117770,,
T1B10(36-38cmbsf),"Virulence, Disease and Defense",3.13%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Potassium metabolism,2.04%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Cell Wall and Capsule,12.43%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Phosphorus Metabolism,2.50%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Nucleosides and Nucleotides,9.10%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Transcriptional regulation,0.37%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Plastidial (cyanobacterial) electron transport system,0.01%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Motility and Chemotaxis,3.34%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Miscellaneous,13.16%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Arabinose Sensor and transport module,0.00%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Virulence,7.50%,Slope,1000000,117770,,
T1B10(36-38cmbsf),"Fatty Acids, Lipids, and Isoprenoids",16.14%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Dormancy and Sporulation,0.41%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Central metabolism,0.46%,Slope,1000000,117770,,
T1B10(36-38cmbsf),RNA Metabolism,16.23%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Predictions based on plant-prokaryote comparative analysis,1.82%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Respiration,9.27%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Nucleotide sugars,1.25%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Polyamines,0.00%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Regulation and Cell signaling,4.04%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Unclassified,18.96%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Amino Acids and Derivatives,52.78%,Slope,1000000,117770,,
T1B10(36-38cmbsf),DNA Metabolism,10.81%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Membrane Transport,5.19%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Plant cell walls and outer surfaces,0.11%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Photosynthesis,0.18%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Plant Glucosinolates,0.61%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Autotrophy,0.06%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Metabolism of Aromatic Compounds,3.51%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Sulfur Metabolism,4.44%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Mitochondrial electron transport system in plants,0.77%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Aceton metabolism,0.01%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Stress Response,8.26%,Slope,1000000,117770,,
T1B10(36-38cmbsf),"Phages, Prophages, Transposable elements, Plasmids",1.19%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Cell Division and Cell Cycle,2.79%,Slope,1000000,117770,,
T1B10(36-38cmbsf),Metabolite damage and its repair or mitigation,9.02%,Slope,1000000,117770,,
T1B10(44-46cmbsf),Iron acquisition and metabolism,1.97%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Secondary Metabolism,1.17%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Protein Metabolism,23.98%,Slope,1000000,122903,,
T1B10(44-46cmbsf),General Stress Response and Stationary Phase Response,0.01%,Slope,1000000,122903,,
T1B10(44-46cmbsf),"Phages, Prophages, Transposable elements",0.45%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Carbohydrates,59.62%,Slope,1000000,122903,,
T1B10(44-46cmbsf),"Cofactors, Vitamins, Prosthetic Groups, Pigments",57.22%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Thiamin,1.07%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Nitrogen Metabolism,2.25%,Slope,1000000,122903,,
T1B10(44-46cmbsf),"Virulence, Disease and Defense",3.08%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Potassium metabolism,2.05%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Cell Wall and Capsule,12.67%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Phosphorus Metabolism,2.42%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Nucleosides and Nucleotides,9.00%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Transcriptional regulation,0.39%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Plastidial (cyanobacterial) electron transport system,0.01%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Motility and Chemotaxis,3.73%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Miscellaneous,12.78%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Arabinose Sensor and transport module,0.00%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Virulence,7.62%,Slope,1000000,122903,,
T1B10(44-46cmbsf),"Fatty Acids, Lipids, and Isoprenoids",16.72%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Dormancy and Sporulation,0.39%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Central metabolism,0.47%,Slope,1000000,122903,,
T1B10(44-46cmbsf),RNA Metabolism,15.10%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Predictions based on plant-prokaryote comparative analysis,1.86%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Respiration,10.03%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Nucleotide sugars,1.28%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Polyamines,0.00%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Regulation and Cell signaling,4.41%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Unclassified,19.09%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Amino Acids and Derivatives,51.44%,Slope,1000000,122903,,
T1B10(44-46cmbsf),DNA Metabolism,10.77%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Membrane Transport,5.16%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Plant cell walls and outer surfaces,0.12%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Photosynthesis,0.17%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Plant Glucosinolates,0.51%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Autotrophy,0.05%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Metabolism of Aromatic Compounds,3.93%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Sulfur Metabolism,4.36%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Mitochondrial electron transport system in plants,0.88%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Aceton metabolism,0.01%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Stress Response,8.61%,Slope,1000000,122903,,
T1B10(44-46cmbsf),"Phages, Prophages, Transposable elements, Plasmids",1.10%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Cell Division and Cell Cycle,2.99%,Slope,1000000,122903,,
T1B10(44-46cmbsf),Metabolite damage and its repair or mitigation,8.69%,Slope,1000000,122903,,
T1B11(0-3cmbsf),Iron acquisition and metabolism,1.71%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Secondary Metabolism,1.08%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Protein Metabolism,24.83%,Slope,1000000,111620,,
T1B11(0-3cmbsf),General Stress Response and Stationary Phase Response,0.02%,Slope,1000000,111620,,
T1B11(0-3cmbsf),"Phages, Prophages, Transposable elements",0.63%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Carbohydrates,63.02%,Slope,1000000,111620,,
T1B11(0-3cmbsf),"Cofactors, Vitamins, Prosthetic Groups, Pigments",60.31%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Thiamin,1.18%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Nitrogen Metabolism,2.11%,Slope,1000000,111620,,
T1B11(0-3cmbsf),"Virulence, Disease and Defense",2.85%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Potassium metabolism,1.86%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Cell Wall and Capsule,11.94%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Phosphorus Metabolism,2.46%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Nucleosides and Nucleotides,9.70%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Transcriptional regulation,0.39%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Photosynthesis,0.18%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Motility and Chemotaxis,2.86%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Miscellaneous,13.36%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Arabinose Sensor and transport module,0.01%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Virulence,7.22%,Slope,1000000,111620,,
T1B11(0-3cmbsf),"Fatty Acids, Lipids, and Isoprenoids",16.56%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Dormancy and Sporulation,0.40%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Central metabolism,0.54%,Slope,1000000,111620,,
T1B11(0-3cmbsf),RNA Metabolism,15.86%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Predictions based on plant-prokaryote comparative analysis,1.95%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Respiration,9.16%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Nucleotide sugars,1.18%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Polyamines,0.00%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Regulation and Cell signaling,3.77%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Unclassified,19.34%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Amino Acids and Derivatives,52.90%,Slope,1000000,111620,,
T1B11(0-3cmbsf),DNA Metabolism,10.46%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Membrane Transport,4.81%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Plant cell walls and outer surfaces,0.17%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Plastidial (cyanobacterial) electron transport system,0.04%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Plant Glucosinolates,0.57%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Autotrophy,0.05%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Metabolism of Aromatic Compounds,4.24%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Sulfur Metabolism,4.46%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Mitochondrial electron transport system in plants,0.84%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Aceton metabolism,0.00%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Stress Response,9.02%,Slope,1000000,111620,,
T1B11(0-3cmbsf),"Phages, Prophages, Transposable elements, Plasmids",1.27%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Cell Division and Cell Cycle,3.01%,Slope,1000000,111620,,
T1B11(0-3cmbsf),Metabolite damage and its repair or mitigation,9.12%,Slope,1000000,111620,,
T1B3R1(0-3cmbsf),Iron acquisition and metabolism,1.38%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Secondary Metabolism,1.33%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Protein Metabolism,25.12%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),General Stress Response and Stationary Phase Response,0.03%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),"Phages, Prophages, Transposable elements",0.54%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Carbohydrates,65.44%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),"Cofactors, Vitamins, Prosthetic Groups, Pigments",60.26%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Thiamin,1.08%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Nitrogen Metabolism,2.25%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),"Virulence, Disease and Defense",2.49%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Potassium metabolism,1.46%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Cell Wall and Capsule,10.39%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Phosphorus Metabolism,2.10%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Nucleosides and Nucleotides,9.99%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Transcriptional regulation,0.38%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Plastidial (cyanobacterial) electron transport system,0.00%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Motility and Chemotaxis,2.42%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Miscellaneous,13.64%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Arabinose Sensor and transport module,0.00%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Virulence,7.61%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),"Fatty Acids, Lipids, and Isoprenoids",17.83%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Dormancy and Sporulation,0.39%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Central metabolism,0.65%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),RNA Metabolism,15.83%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Predictions based on plant-prokaryote comparative analysis,1.74%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Respiration,9.80%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Nucleotide sugars,1.17%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Regulation and Cell signaling,3.68%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Unclassified,19.76%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Amino Acids and Derivatives,57.94%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),DNA Metabolism,9.92%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Membrane Transport,4.54%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Plant cell walls and outer surfaces,0.16%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Photosynthesis,0.14%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Plant Glucosinolates,0.69%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Autotrophy,0.04%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Metabolism of Aromatic Compounds,4.85%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Sulfur Metabolism,5.20%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Mitochondrial electron transport system in plants,0.83%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Aceton metabolism,0.01%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Stress Response,8.95%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),"Phages, Prophages, Transposable elements, Plasmids",1.21%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Cell Division and Cell Cycle,2.87%,Slope,1000000,95974,,
T1B3R1(0-3cmbsf),Metabolite damage and its repair or mitigation,10.24%,Slope,1000000,95974,,
T1B3R2(0-3cmbsf),Iron acquisition and metabolism,1.46%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Secondary Metabolism,1.32%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Protein Metabolism,25.27%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),General Stress Response and Stationary Phase Response,0.02%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),"Phages, Prophages, Transposable elements",0.55%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Carbohydrates,65.54%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),"Cofactors, Vitamins, Prosthetic Groups, Pigments",59.15%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Thiamin,1.10%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Nitrogen Metabolism,2.33%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),"Virulence, Disease and Defense",2.42%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Potassium metabolism,1.40%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Cell Wall and Capsule,10.39%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Phosphorus Metabolism,2.02%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Nucleosides and Nucleotides,10.15%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Transcriptional regulation,0.42%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Plastidial (cyanobacterial) electron transport system,0.00%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Motility and Chemotaxis,2.36%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Miscellaneous,13.63%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Arabinose Sensor and transport module,0.01%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Virulence,7.80%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),"Fatty Acids, Lipids, and Isoprenoids",17.23%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Dormancy and Sporulation,0.36%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Central metabolism,0.62%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),RNA Metabolism,15.88%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Predictions based on plant-prokaryote comparative analysis,1.80%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Respiration,10.19%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Nucleotide sugars,1.20%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Polyamines,0.00%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Regulation and Cell signaling,3.57%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Unclassified,19.69%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Amino Acids and Derivatives,57.87%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),DNA Metabolism,9.78%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Membrane Transport,4.45%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Plant cell walls and outer surfaces,0.18%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Photosynthesis,0.16%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Plant Glucosinolates,0.69%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Autotrophy,0.05%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Metabolism of Aromatic Compounds,4.69%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Sulfur Metabolism,4.97%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Mitochondrial electron transport system in plants,0.88%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Aceton metabolism,0.01%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Stress Response,8.91%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),"Phages, Prophages, Transposable elements, Plasmids",1.20%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Cell Division and Cell Cycle,2.79%,Slope,1000000,89462,,
T1B3R2(0-3cmbsf),Metabolite damage and its repair or mitigation,10.25%,Slope,1000000,89462,,
T1B5(0-2cmbsf),Iron acquisition and metabolism,1.63%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Secondary Metabolism,1.27%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Protein Metabolism,24.25%,Slope,1000000,106476,,
T1B5(0-2cmbsf),General Stress Response and Stationary Phase Response,0.02%,Slope,1000000,106476,,
T1B5(0-2cmbsf),"Phages, Prophages, Transposable elements",0.51%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Carbohydrates,62.04%,Slope,1000000,106476,,
T1B5(0-2cmbsf),"Cofactors, Vitamins, Prosthetic Groups, Pigments",58.34%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Thiamin,1.09%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Nitrogen Metabolism,2.22%,Slope,1000000,106476,,
T1B5(0-2cmbsf),"Virulence, Disease and Defense",2.57%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Potassium metabolism,1.82%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Cell Wall and Capsule,11.09%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Phosphorus Metabolism,2.16%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Nucleosides and Nucleotides,9.38%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Transcriptional regulation,0.35%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Plastidial (cyanobacterial) electron transport system,0.00%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Motility and Chemotaxis,2.64%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Miscellaneous,13.75%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Arabinose Sensor and transport module,0.00%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Virulence,7.58%,Slope,1000000,106476,,
T1B5(0-2cmbsf),"Fatty Acids, Lipids, and Isoprenoids",18.34%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Dormancy and Sporulation,0.38%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Central metabolism,0.51%,Slope,1000000,106476,,
T1B5(0-2cmbsf),RNA Metabolism,16.09%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Predictions based on plant-prokaryote comparative analysis,1.80%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Respiration,9.69%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Nucleotide sugars,1.22%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Polyamines,0.00%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Regulation and Cell signaling,4.27%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Unclassified,19.64%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Amino Acids and Derivatives,55.20%,Slope,1000000,106476,,
T1B5(0-2cmbsf),DNA Metabolism,9.81%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Membrane Transport,4.92%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Plant cell walls and outer surfaces,0.14%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Photosynthesis,0.19%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Plant Glucosinolates,0.64%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Autotrophy,0.05%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Metabolism of Aromatic Compounds,4.59%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Sulfur Metabolism,4.81%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Mitochondrial electron transport system in plants,0.85%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Aceton metabolism,0.01%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Stress Response,8.66%,Slope,1000000,106476,,
T1B5(0-2cmbsf),"Phages, Prophages, Transposable elements, Plasmids",1.17%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Cell Division and Cell Cycle,2.88%,Slope,1000000,106476,,
T1B5(0-2cmbsf),Metabolite damage and its repair or mitigation,9.68%,Slope,1000000,106476,,
T1B5(28-30cmbsf),Iron acquisition and metabolism,1.43%,Slope,1000000,136609,,
